Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
09/10/2015,Completed,09/10/2015,15-04695678,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1372 N MILWAUKEE AVE,60622,1164324.19269156,1909307.63327761,1,14,24,33,41.906657377179585,-87.67187112432266,"(41.906657377179585, -87.67187112432266)"
09/10/2015,Completed,09/10/2015,15-04695641,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Viaduct,400 N OAKLEY BLVD,60612,1161004.98908963,1902665.0127167,27,12,24,,41.888621864838264,-87.68433122792968,"(41.888621864838264, -87.68433122792968)"
09/10/2015,Completed,09/10/2015,15-04695676,Graffiti Removal,Brick - Painted,Front,615 W 48TH ST,60609,1173002.1460156,1873067.25989589,11,9,61,,41.80701064609108,-87.64127960399412,"(41.80701064609108, -87.64127960399412)"
09/10/2015,Completed,09/10/2015,15-04695645,Graffiti Removal,Brick - Painted,Front,620 W 48TH PL,60609,1172950.79990909,1872733.68512058,11,9,61,,41.80631380699193,-87.64156894581478,"(41.80631380699193, -87.64156894581478)"
09/10/2015,Completed,09/10/2015,15-04695673,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,3255 S DAMEN AVE,60608,1163547.87512712,1883093.05838545,25,9,59,,41.83428263683849,-87.67523545356828,"(41.83428263683849, -87.67523545356828)"
09/10/2015,Completed,09/10/2015,15-04695648,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1370 N MILWAUKEE AVE,60622,1164340.39269156,1909293.93327761,1,14,24,33,41.90661933439651,-87.67181162599307,"(41.90661933439651, -87.67181162599307)"
09/10/2015,Completed,09/10/2015,15-04696831,Graffiti Removal,Brick - Unpainted,Rear,2028 W 51ST ST,60609,1163575.11996926,1870840.43162598,15,9,61,,41.801327756292146,-87.67566379885689,"(41.801327756292146, -87.67566379885689)"
09/10/2015,Completed,09/10/2015,15-04695866,Graffiti Removal,Brick - Unpainted,Front,162 N FRANKLIN ST,60606,1174302.16280404,1901406.69570659,42,1,32,,41.8848722518548,-87.63553721738893,"(41.8848722518548, -87.63553721738893)"
09/10/2015,Completed,09/10/2015,15-04695752,Graffiti Removal,Brick - Painted,Front,1006 S MICHIGAN AVE,60605,1177415.20740968,1895969.78957414,4,1,32,,41.86976755683275,-87.62426641387945,"(41.86976755683275, -87.62426641387945)"
09/10/2015,Completed,09/10/2015,15-04707155,Graffiti Removal,Metal - Painted,Pole,2717 W CERMAK RD,60608,1158518.07021293,1889280.75622128,12,10,30,,41.851815550226014,-87.69367588391998,"(41.851815550226014, -87.69367588391998)"
09/10/2015,Completed,09/10/2015,15-04695744,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1343 N MILWAUKEE AVE,60622,1164554.00013374,1909113.81006739,1,14,24,33,41.906332642194734,-87.67091130757272,"(41.906332642194734, -87.67091130757272)"
09/10/2015,Completed,09/10/2015,15-04695748,Graffiti Removal,Brick - Unpainted,Front,3251 S DAMEN AVE,60608,1163547.17512712,1883120.15838545,25,9,59,,41.8343931220938,-87.67523803601968,"(41.8343931220938, -87.67523803601968)"
09/10/2015,Completed,09/10/2015,15-04700508,Graffiti Removal,Metal - Painted,Front,5600 N KENTON AVE,60646,1144724.12002212,1936839.35002441,39,17,12,,41.982773141891236,-87.74325891388398,"(41.982773141891236, -87.74325891388398)"
09/10/2015,Completed,09/15/2015,15-04708161,Graffiti Removal,Brick - Unpainted,Alley,2524 W 51ST ST,60632,1160307.33801595,1870771.83082343,14,9,63,,41.80120396817527,-87.68784444447047,"(41.80120396817527, -87.68784444447047)"
09/10/2015,Completed,09/10/2015,15-04697793,Graffiti Removal,Metal - Painted,Garbage Cart,2443 W MORSE AVE,60645,1158781.08001618,1945729.47992145,50,24,2,,42.00669705937222,-87.69181022642076,"(42.00669705937222, -87.69181022642076)"
09/10/2015,Completed,09/10/2015,15-04695865,Graffiti Removal,Metal - Painted,Dumpster,3232 W FOSTER AVE,60625,1153763.48008955,1934363.72690521,39,17,13,,41.97584077440042,-87.71003834908514,"(41.97584077440042, -87.71003834908514)"
